model,case_id,chain_type,expected_schema,runs,compliance_passes,compliance_rate,avg_elapsed_s,avg_tokens_per_sec,rubric_criteria_count,rubric_passed_total,rubric_rate,rubric_scorer,most_failed_rubric_criteria,judge_evaluations
gemma4:e4b,intent_sum_001,intent_summarizer,SummarizedChunk,5,5,1.0,2.055,78.46,3,15,1.0,heuristic,[],[]
gemma4:e4b,intent_sum_002,intent_summarizer,SummarizedChunk,5,5,1.0,0.983,78.45,3,10,0.6667,heuristic,"['intent_summary explains WHY these settings exist (system tuning, not just variable names)']",[]
gemma4:e4b,intent_sum_003,intent_summarizer,SummarizedChunk,5,5,1.0,1.221,77.81,3,10,0.6667,heuristic,['intent_summary explains the three-case upsert contract and WHY it prevents duplicate indexing'],[]
gemma4:e4b,intent_sum_004,intent_summarizer,SummarizedChunk,5,5,1.0,1.292,77.87,3,10,0.6667,heuristic,['non-fatal failure handling mentioned or implied in intent_summary'],[]
gemma4:e4b,intent_sum_005,intent_summarizer,SummarizedChunk,5,5,1.0,1.101,77.95,3,5,0.3333,heuristic,"['tech_stack includes at least: embeddings or persona or weighting', 'intent_summary explains WHY temporal weighting prevents stale tendencies from dominating persona']",[]
gemma4:e4b,snippet_sum_001,snippet_summarizer,,5,5,1.0,7.785,76.92,3,10,0.6667,llm-judge,['answer explains the quarantine-not-drop philosophy (not just mechanics)'],"[{'run': 1, 'evaluations': [{'criterion': 'answer explains the quarantine-not-drop philosophy (not just mechanics)', 'verdict': 'FAIL', 'reason': 'The response only describes the steps without explaining the underlying quarantine-not-drop philosophy.'}, {'criterion': 'covers both the pipeline behaviour AND the UI review path', 'verdict': 'PASS', 'reason': 'It details the pipeline actions and the Streamlit UI review panel.'}, {'criterion': 'does not expose internal ChromaDB IDs or stack traces in the response', 'verdict': 'PASS', 'reason': 'No internal IDs or stack traces are revealed, only generic semantic_type usage.'}]}, {'run': 2, 'evaluations': [{'criterion': 'answer explains the quarantine-not-drop philosophy (not just mechanics)', 'verdict': 'FAIL', 'reason': 'It only describes mechanics without discussing the quarantine-not-drop philosophy.'}, {'criterion': 'covers both the pipeline behaviour AND the UI review path', 'verdict': 'PASS', 'reason': 'It details both the pipeline steps and the UI review queue.'}, {'criterion': 'does not expose internal ChromaDB IDs or stack traces in the response', 'verdict': 'PASS', 'reason': 'No internal IDs or stack traces are revealed.'}]}, {'run': 3, 'evaluations': [{'criterion': 'answer explains the quarantine-not-drop philosophy (not just mechanics)', 'verdict': 'FAIL', 'reason': 'It only describes mechanics without discussing the quarantine-not-drop philosophy.'}, {'criterion': 'covers both the pipeline behaviour AND the UI review path', 'verdict': 'PASS', 'reason': 'It details both the backend quarantine process and the Streamlit UI review queue.'}, {'criterion': 'does not expose internal ChromaDB IDs or stack traces in the response', 'verdict': 'PASS', 'reason': 'No internal IDs or stack traces are revealed, only generic semantic_type information.'}]}, {'run': 4, 'evaluations': [{'criterion': 'answer explains the quarantine-not-drop philosophy (not just mechanics)', 'verdict': 'FAIL', 'reason': 'It only describes mechanics without discussing the quarantine-not-drop philosophy.'}, {'criterion': 'covers both the pipeline behaviour AND the UI review path', 'verdict': 'PASS', 'reason': 'It details both the backend quarantine process and the Streamlit UI review queue.'}, {'criterion': 'does not expose internal ChromaDB IDs or stack traces in the response', 'verdict': 'PASS', 'reason': 'No internal IDs or stack traces are revealed, only generic semantic_type information.'}]}, {'run': 5, 'evaluations': [{'criterion': 'answer explains the quarantine-not-drop philosophy (not just mechanics)', 'verdict': 'FAIL', 'reason': 'It only describes mechanics without discussing the quarantine-not-drop philosophy.'}, {'criterion': 'covers both the pipeline behaviour AND the UI review path', 'verdict': 'PASS', 'reason': 'It details the pipeline steps and the UI review queue.'}, {'criterion': 'does not expose internal ChromaDB IDs or stack traces in the response', 'verdict': 'PASS', 'reason': 'No internal IDs or stack traces are revealed.'}]}]"
gemma4:e4b,snippet_sum_002,snippet_summarizer,,5,5,1.0,5.569,76.85,3,10,0.6667,llm-judge,['mentions the operator.add reducer role in safe parallel accumulation'],"[{'run': 1, 'evaluations': [{'criterion': 'answer explains the throughput motivation (GPU saturation), not just the API mechanics', 'verdict': 'PASS', 'reason': 'The response cites maximum GPU utilization and improved throughput as the reason for using Send.'}, {'criterion': 'mentions the operator.add reducer role in safe parallel accumulation', 'verdict': 'FAIL', 'reason': 'The response does not reference operator.add or its reducer role.'}, {'criterion': 'answer is actionable — a developer could understand when to use this pattern vs a loop', 'verdict': 'PASS', 'reason': 'It contrasts parallel Send with a sequential loop, guiding developers on when to prefer the pattern.'}]}, {'run': 2, 'evaluations': [{'criterion': 'answer explains the throughput motivation (GPU saturation), not just the API mechanics', 'verdict': 'PASS', 'reason': 'The response cites maximum GPU utilization and improved throughput as the reason for using Send.'}, {'criterion': 'mentions the operator.add reducer role in safe parallel accumulation', 'verdict': 'FAIL', 'reason': 'The response does not reference operator.add or its reducer role.'}, {'criterion': 'answer is actionable — a developer could understand when to use this pattern vs a loop', 'verdict': 'PASS', 'reason': 'It contrasts parallel Send with a sequential loop, guiding developers on when to prefer the pattern.'}]}, {'run': 3, 'evaluations': [{'criterion': 'answer explains the throughput motivation (GPU saturation), not just the API mechanics', 'verdict': 'PASS', 'reason': 'The response cites maximum GPU utilization and improved throughput as the reason for using Send.'}, {'criterion': 'mentions the operator.add reducer role in safe parallel accumulation', 'verdict': 'FAIL', 'reason': 'The response does not reference operator.add or its reducer role.'}, {'criterion': 'answer is actionable — a developer could understand when to use this pattern vs a loop', 'verdict': 'PASS', 'reason': 'It contrasts parallel Send with a sequential loop, guiding developers on when to prefer the pattern.'}]}, {'run': 4, 'evaluations': [{'criterion': 'answer explains the throughput motivation (GPU saturation), not just the API mechanics', 'verdict': 'PASS', 'reason': 'The response cites maximum GPU utilization and improved throughput as the reason for using Send.'}, {'criterion': 'mentions the operator.add reducer role in safe parallel accumulation', 'verdict': 'FAIL', 'reason': 'The response does not reference operator.add or its reducer role.'}, {'criterion': 'answer is actionable — a developer could understand when to use this pattern vs a loop', 'verdict': 'PASS', 'reason': 'It contrasts parallel Send with a sequential loop, guiding developers on when to prefer the pattern.'}]}, {'run': 5, 'evaluations': [{'criterion': 'answer explains the throughput motivation (GPU saturation), not just the API mechanics', 'verdict': 'PASS', 'reason': 'It cites GPU utilization and throughput benefits.'}, {'criterion': 'mentions the operator.add reducer role in safe parallel accumulation', 'verdict': 'FAIL', 'reason': 'The response does not reference operator.add or reducer.'}, {'criterion': 'answer is actionable — a developer could understand when to use this pattern vs a loop', 'verdict': 'PASS', 'reason': 'It contrasts parallel Send with sequential loops, guiding usage.'}]}]"
gemma4:e4b,snippet_sum_003,snippet_summarizer,,5,5,1.0,6.537,76.63,3,14,0.9333,llm-judge,['explains that throughput is equivalent — the decision is resource-based'],"[{'run': 1, 'evaluations': [{'criterion': 'answer explains both the preference (26b) and the fallback trigger (< 16 GB RAM)', 'verdict': 'PASS', 'reason': 'The response details that RAM\u202f≥\u202f16\u202fGB selects gemma4:26b and lower RAM selects a smaller model.'}, {'criterion': 'explains that throughput is equivalent — the decision is resource-based', 'verdict': 'PASS', 'reason': 'It states the selection is RAM‑driven, not speed‑driven, implying throughput is equivalent.'}, {'criterion': 'mentions the OLLAMA_MODEL env var for operator control', 'verdict': 'PASS', 'reason': 'The response references the OLLAMA_MODEL environment variable as being overridden by RAM‑based selection.'}]}, {'run': 2, 'evaluations': [{'criterion': 'answer explains both the preference (26b) and the fallback trigger (< 16 GB RAM)', 'verdict': 'PASS', 'reason': 'The response details that RAM\u202f≥\u202f16\u202fGB selects gemma4:26b and lower RAM selects a smaller model.'}, {'criterion': 'explains that throughput is equivalent — the decision is resource-based', 'verdict': 'PASS', 'reason': 'It states the selection is RAM‑driven, not speed‑driven, implying throughput is considered equal.'}, {'criterion': 'mentions the OLLAMA_MODEL env var for operator control', 'verdict': 'PASS', 'reason': 'The response references the OLLAMA_MODEL environment variable as an override point.'}]}, {'run': 3, 'evaluations': [{'criterion': 'answer explains both the preference (26b) and the fallback trigger (< 16 GB RAM)', 'verdict': 'PASS', 'reason': 'The response details using 26b for ≥16\u202fGB RAM and a fallback for lower RAM.'}, {'criterion': 'explains that throughput is equivalent — the decision is resource-based', 'verdict': 'FAIL', 'reason': 'It notes the decision is RAM-driven but does not state throughput is equivalent.'}, {'criterion': 'mentions the OLLAMA_MODEL env var for operator control', 'verdict': 'PASS', 'reason': 'The response references the OLLAMA_MODEL environment variable.'}]}, {'run': 4, 'evaluations': [{'criterion': 'answer explains both the preference (26b) and the fallback trigger (< 16 GB RAM)', 'verdict': 'PASS', 'reason': 'The response details using gemma4:26b for ≥16\u202fGB RAM and a fallback to gemma4:e4b (or error) for lower RAM.'}, {'criterion': 'explains that throughput is equivalent — the decision is resource-based', 'verdict': 'PASS', 'reason': 'It states the selection is RAM‑driven, not speed‑driven, indicating throughput is considered equivalent.'}, {'criterion': 'mentions the OLLAMA_MODEL env var for operator control', 'verdict': 'PASS', 'reason': 'The response explicitly references the OLLAMA_MODEL environment variable.'}]}, {'run': 5, 'evaluations': [{'criterion': 'answer explains both the preference (26b) and the fallback trigger (< 16 GB RAM)', 'verdict': 'PASS', 'reason': 'The response details using gemma4:26b for ≥16\u202fGB RAM and a fallback to gemma4:e4b for lower RAM.'}, {'criterion': 'explains that throughput is equivalent — the decision is resource-based', 'verdict': 'PASS', 'reason': 'It states the selection is RAM‑driven, not speed‑driven, indicating throughput is not a factor.'}, {'criterion': 'mentions the OLLAMA_MODEL env var for operator control', 'verdict': 'PASS', 'reason': 'The response references the OLLAMA_MODEL environment variable as being overridden by RAM‑based selection.'}]}]"
gemma4:e4b,persona_syn_001,persona_synthesizer,PersonaProfile,5,5,1.0,14.358,75.64,4,13,0.65,llm-judge,"['deviation_tendencies or anti-patterns field reflects absence of patterns (e.g. no async/await pattern observed)', ""mentions at least one actionable style guideline a reviewer could apply when reading this developer's PRs""]","[{'run': 1, 'evaluations': [{'criterion': 'profile synthesises patterns into a coherent developer archetype — not just a list of traits', 'verdict': 'PASS', 'reason': 'The style_summary weaves the listed patterns into a clear archetype description.'}, {'criterion': ""mentions at least one actionable style guideline a reviewer could apply when reading this developer's PRs"", 'verdict': 'FAIL', 'reason': 'No concrete guideline (e.g., ""check for Pydantic validators"") is provided.'}, {'criterion': ""profile is specific enough to be useful for coaching (not generic like 'writes clean code')"", 'verdict': 'PASS', 'reason': 'The description cites concrete practices such as contract‑first modelling and functional purity.'}, {'criterion': 'deviation_tendencies or anti-patterns field reflects absence of patterns (e.g. no async/await pattern observed)', 'verdict': 'FAIL', 'reason': 'The field lists stylistic tendencies rather than noting missing patterns.'}]}, {'run': 2, 'evaluations': [{'criterion': 'profile synthesises patterns into a coherent developer archetype — not just a list of traits', 'verdict': 'PASS', 'reason': 'The style_summary weaves the listed patterns into a clear archetype of a defensive, contract‑first developer.'}, {'criterion': ""mentions at least one actionable style guideline a reviewer could apply when reading this developer's PRs"", 'verdict': 'FAIL', 'reason': ""The response describes the developer's philosophy but does not give a concrete guideline for reviewers to follow.""}, {'criterion': ""profile is specific enough to be useful for coaching (not generic like 'writes clean code')"", 'verdict': 'PASS', 'reason': 'It cites concrete practices such as Pydantic contracts, strict typing, factory closures, and functional purity.'}, {'criterion': 'deviation_tendencies or anti-patterns field reflects absence of patterns (e.g. no async/await pattern observed)', 'verdict': 'PASS', 'reason': 'The deviation_tendencies list concrete anti‑patterns like under‑documented helpers and over‑use of return‑value error handling.'}]}, {'run': 3, 'evaluations': [{'criterion': 'profile synthesises patterns into a coherent developer archetype — not just a list of traits', 'verdict': 'PASS', 'reason': 'The style_summary weaves the listed patterns into a clear archetype of a defensive, contract‑first developer.'}, {'criterion': ""mentions at least one actionable style guideline a reviewer could apply when reading this developer's PRs"", 'verdict': 'FAIL', 'reason': 'The response describes general habits but does not provide a concrete guideline for reviewers to follow.'}, {'criterion': ""profile is specific enough to be useful for coaching (not generic like 'writes clean code')"", 'verdict': 'PASS', 'reason': 'It cites concrete practices such as Pydantic contracts, strict typing, and functional purity, which are actionable for coaching.'}, {'criterion': 'deviation_tendencies or anti-patterns field reflects absence of patterns (e.g. no async/await pattern observed)', 'verdict': 'PASS', 'reason': 'The deviation_tendencies list concrete anti‑patterns like under‑documenting helpers and preferring return‑value error handling.'}]}, {'run': 4, 'evaluations': [{'criterion': 'profile synthesises patterns into a coherent developer archetype — not just a list of traits', 'verdict': 'PASS', 'reason': 'The style_summary weaves the listed patterns into a clear archetype description.'}, {'criterion': ""mentions at least one actionable style guideline a reviewer could apply when reading this developer's PRs"", 'verdict': 'FAIL', 'reason': 'The response describes general habits but does not give a concrete guideline for reviewers.'}, {'criterion': ""profile is specific enough to be useful for coaching (not generic like 'writes clean code')"", 'verdict': 'PASS', 'reason': 'It cites concrete practices such as Pydantic contracts, strict typing, and functional purity.'}, {'criterion': 'deviation_tendencies or anti-patterns field reflects absence of patterns (e.g. no async/await pattern observed)', 'verdict': 'FAIL', 'reason': 'The field lists tendencies rather than noting missing patterns like an absent async/await usage.'}]}, {'run': 5, 'evaluations': [{'criterion': 'profile synthesises patterns into a coherent developer archetype — not just a list of traits', 'verdict': 'PASS', 'reason': 'The style_summary weaves the listed patterns into a clear archetype of a defensive, contract‑first developer.'}, {'criterion': ""mentions at least one actionable style guideline a reviewer could apply when reading this developer's PRs"", 'verdict': 'FAIL', 'reason': ""The response describes the developer's philosophy but does not give a concrete guideline for reviewers to follow.""}, {'criterion': ""profile is specific enough to be useful for coaching (not generic like 'writes clean code')"", 'verdict': 'PASS', 'reason': 'It cites concrete practices such as Pydantic contracts, strict typing, factory closures, and functional purity.'}, {'criterion': 'deviation_tendencies or anti-patterns field reflects absence of patterns (e.g. no async/await pattern observed)', 'verdict': 'PASS', 'reason': 'The deviation_tendencies list concrete anti‑patterns like under‑documented helpers and overuse of return‑value error handling.'}]}]"
gemma4:e4b,persona_syn_002,persona_synthesizer,PersonaProfile,5,5,1.0,10.254,75.79,3,0,0.0,llm-judge,"['profile notes the small sample size (12 docs) as a confidence qualifier — low data should lower certainty', 'mixes_sync_and_async_calls is flagged as a risk pattern, not just described neutrally', 'profile does not fabricate patterns not present in the tendency_data']","[{'run': 1, 'evaluations': [{'criterion': 'profile notes the small sample size (12 docs) as a confidence qualifier — low data should lower certainty', 'verdict': 'FAIL', 'reason': 'The response does not mention the sample size or qualify confidence based on the small dataset.'}, {'criterion': 'mixes_sync_and_async_calls is flagged as a risk pattern, not just described neutrally', 'verdict': 'FAIL', 'reason': 'The pattern is listed neutrally as ""managing sync/async boundaries"" without being flagged as a risk.'}, {'criterion': 'profile does not fabricate patterns not present in the tendency_data', 'verdict': 'FAIL', 'reason': 'The response introduces dominant patterns that are not found in the provided tendency data, indicating fabrication.'}]}, {'run': 2, 'evaluations': [{'criterion': 'profile notes the small sample size (12 docs) as a confidence qualifier — low data should lower certainty', 'verdict': 'FAIL', 'reason': 'The response does not mention the sample size or qualify confidence based on the small dataset.'}, {'criterion': 'mixes_sync_and_async_calls is flagged as a risk pattern, not just described neutrally', 'verdict': 'FAIL', 'reason': 'The pattern is listed neutrally as ""managing sync/async boundaries"" without being flagged as a risk.'}, {'criterion': 'profile does not fabricate patterns not present in the tendency_data', 'verdict': 'FAIL', 'reason': 'The response introduces dominant patterns that are not found in the provided tendency data, indicating fabrication.'}]}, {'run': 3, 'evaluations': [{'criterion': 'profile notes the small sample size (12 docs) as a confidence qualifier — low data should lower certainty', 'verdict': 'FAIL', 'reason': 'The response makes no mention of sample size or confidence qualifiers.'}, {'criterion': 'mixes_sync_and_async_calls is flagged as a risk pattern, not just described neutrally', 'verdict': 'FAIL', 'reason': 'The sync/async pattern is listed neutrally, not flagged as a risk.'}, {'criterion': 'profile does not fabricate patterns not present in the tendency_data', 'verdict': 'FAIL', 'reason': 'The response includes patterns that may not be present in the provided tendency data, indicating possible fabrication.'}]}, {'run': 4, 'evaluations': [{'criterion': 'profile notes the small sample size (12 docs) as a confidence qualifier — low data should lower certainty', 'verdict': 'FAIL', 'reason': 'The response does not mention the sample size or qualify confidence based on the small dataset.'}, {'criterion': 'mixes_sync_and_async_calls is flagged as a risk pattern, not just described neutrally', 'verdict': 'FAIL', 'reason': 'The pattern is listed neutrally as ""managing sync/async boundaries"" rather than being flagged as a risk.'}, {'criterion': 'profile does not fabricate patterns not present in the tendency_data', 'verdict': 'FAIL', 'reason': 'The response introduces dominant patterns that are not found in the provided tendency data, indicating fabrication.'}]}, {'run': 5, 'evaluations': [{'criterion': 'profile notes the small sample size (12 docs) as a confidence qualifier — low data should lower certainty', 'verdict': 'FAIL', 'reason': 'The response does not mention the sample size or qualify confidence based on the small dataset.'}, {'criterion': 'mixes_sync_and_async_calls is flagged as a risk pattern, not just described neutrally', 'verdict': 'FAIL', 'reason': 'The pattern is listed neutrally as ""managing sync/async boundaries"" rather than being flagged as a risk.'}, {'criterion': 'profile does not fabricate patterns not present in the tendency_data', 'verdict': 'FAIL', 'reason': 'The response introduces dominant patterns that are not found in the provided tendency data, indicating fabrication.'}]}]"
